id,type,title,milestone,labels,blocked_by,effort,panels,spec,acceptance,description
AP-8.2,work_package,AP-8.2 · Campaigns for large jobs (G-02 through G-06) as catalog entries,Stage 8 — Growth,"effort/XL,kind/catalog,panel/F,panel/G,stage/8",AP-5.2,XL,"G-02, G-04, G-05, G-06, F-02","SP-G-1, SP-G02-1 through SP-G02-3, SP-G04-1 through SP-G04-4, SP-G05-2, SP-G06-2","AB-G02-1, AB-G02-2, AB-G02-3, AB-G04-1, AB-G04-2, AB-G04-3, AB-G05-2, AB-G06-2, AB-F02-3","**Stage:** 8 · **Panels:** G-02, G-04, G-05, G-06, F-02 · **Effort:** XL
**Blocked by:** AP-5.2
**Specification:** SP-G-1, SP-G02-1 through SP-G02-3, SP-G04-1 through SP-G04-4, SP-G05-2, SP-G06-2
**Acceptance:** AB-G02-1, AB-G02-2, AB-G02-3, AB-G04-1, AB-G04-2, AB-G04-3, AB-G05-2, AB-G06-2, AB-F02-3

### Goal
Large jobs are capability content, not a platform layer. Whoever builds them into the core blurs the cut from F-01.

### Tasks
- [ ] corpus.reduce: the reduction cascade writes equivalence classes, not deletions
- [ ] module.extract and dependencies.untangle: graph algorithms, the model names and judges
- [ ] framework.migrate: the mechanical share executed, the rest as an evidenced migration plan
- [ ] coverage.build: where tests are missing, ordered by risk
- [ ] Waves in reverse topological order with a barrier at the end
- [ ] An analysis budget in the job; the captain sees only aggregates
- [ ] Cost visibility per module: build seconds, binary size, attack surface, analysis cost

### Done when
- A campaign delivers a fact-backed migration plan plus the mechanically verifiable share executed.

### Boundary of this issue
A campaign changes nothing itself; it produces subjobs. Shrinking and restructuring never in the same wave."
AP-8.3,work_package,"AP-8.3 · Further runner types: windows, macos, remote",Stage 8 — Growth,"effort/L,kind/platform,panel/T,panel/V,stage/8",AP-6.2,L,"T-04, V-02","SP-T04-4, SP-V02-2",,"**Stage:** 8 · **Panels:** T-04, V-02 · **Effort:** L
**Blocked by:** AP-6.2
**Specification:** SP-T04-4, SP-V02-2
**Acceptance:** — (a precondition, no row of its own)

### Goal
As a runner type of its own, Windows is a node in the same system instead of a special case inside it. You need the same abstraction for the remote runner anyway.

### Tasks
- [ ] A resident agent pulls jobs (no open port needed)
- [ ] Pools of their own per platform; the scheduler routes via the field from the envelope
- [ ] macOS for iOS builds on Apple hardware
- [ ] remote for jobs that are too large

### Done when
- A windows job runs against the same runner contract as an alpine job.

### Boundary of this issue
Windows containers are no good for the density target — hence a runner type, not a special case."
AP-8.4,work_package,AP-8.4 · Catalog maintenance as routine operation (F-05),Stage 8 — Growth,"effort/M,kind/catalog,measurement,panel/F,stage/8",AP-5.6,M,"F-05, F-04, F-06","SP-F03-3, SP-F05-1 through SP-F05-4",AB-F04-4,"**Stage:** 8 · **Panels:** F-05, F-04, F-06 · **Effort:** M
**Blocked by:** AP-5.6
**Specification:** SP-F03-3, SP-F05-1 through SP-F05-4
**Acceptance:** AB-F04-4

### Goal
Capabilities and judgements are the only thing that makes this system cheaper across thousands of jobs instead of equally expensive. Everything else keeps the cost constant at best.

### Tasks
- [ ] Every reported gap becomes a job, never an improvisation
- [ ] Track coverage_rate weekly; if it stalls, the platform only repeats itself
- [ ] Evaluate success_rate per capability and sharpen weak entries
- [ ] Sharpen the descriptions (the trigger surface) — capabilities engage too rarely rather than too often

### Done when
- coverage_rate rises across three consecutive measurement windows.

### Boundary of this issue
The catalog grows deliberately — but only by checked pieces, each with a boundary."
OP-1,decision,OP-1 · Decision: starting values of the pots per authority level (pod minutes per envelope / project / principal-day),"Stage 3 — Smallest system, without a captain","blocker,kind/decision,panel/T,panel/V,stage/3",,S,"V-04, T-01",§19,,"**Due before:** AP-3.6 · **Panels:** V-04, T-01

### To be decided
Starting values of the pots per authority level (pod minutes per envelope / project / principal-day)

### Proposed ruling
public very small, linked medium, confidential a tenant cap

### Done when
- decisions/OP-1.md lies in Git, with ruling, rationale and “overturned by”.
- AP-3.6 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-2,decision,OP-2 · Decision: the number n of rework rounds per pipeline,"Stage 3 — Smallest system, without a captain","blocker,kind/decision,panel/T,stage/3",,S,T-05,§19,,"**Due before:** AP-3.4 · **Panels:** T-05

### To be decided
The number n of rework rounds per pipeline

### Proposed ruling
3, overridable per job class

### Done when
- [x] decisions/OP-2.md lies in Git, with ruling, rationale and “overturned by”.
- [x] AP-3.4 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-3,decision,OP-3 · Decision: the deadline for clarifications before continuing under an assumption,"Stage 5 — Intent, then captain","blocker,kind/decision,panel/K,panel/Q,stage/5",,S,"K-02, Q-01",§19,,"**Due before:** AP-5.1 · **Panels:** K-02, Q-01

### To be decided
The deadline for clarifications before continuing under an assumption

### Proposed ruling
24 h for batch, 1 h for interactive

### Done when
- decisions/OP-3.md lies in Git, with ruling, rationale and “overturned by”.
- AP-5.1 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-4,decision,OP-4 · Decision: lease duration and heartbeat interval,Stage 2 — The contract,"blocker,kind/decision,panel/K,panel/V,stage/2",,S,"V-02, K-02",§19,,"**Due before:** AP-2.3 · **Panels:** V-02, K-02

### To be decided
Lease duration and heartbeat interval

### Proposed ruling
lease 60 s, heartbeat 15 s, three failures = release

### Done when
- decisions/OP-4.md lies in Git, with ruling, rationale and “overturned by”.
- AP-2.3 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-5,decision,OP-5 · Decision: size limits for attachments and permitted MIME types,"Stage 3 — Smallest system, without a captain","blocker,kind/decision,panel/K,panel/T,stage/3",,S,"K-01, T-01",§19,,"**Due before:** AP-3.2 · **Panels:** K-01, T-01

### To be decided
Size limits for attachments and permitted MIME types

### Proposed ruling
conservative; widening only as a decision

### Done when
- decisions/OP-5.md lies in Git, with ruling, rationale and “overturned by”.
- AP-3.2 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-6,decision,OP-6 · Decision: hysteresis and hold times of the PSI thresholds,"Stage 3 — Smallest system, without a captain","blocker,kind/decision,panel/R,stage/3",,S,R-C,§19,,"**Due before:** AP-3.7 · **Panels:** R-C

### To be decided
Hysteresis and hold times of the PSI thresholds

### Proposed ruling
derive from the A-06 calibration run

### Done when
- decisions/OP-6.md lies in Git, with ruling, rationale and “overturned by”.
- AP-3.7 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-7,decision,OP-7 · Decision: the model and provider table,"Stage 5 — Intent, then captain","blocker,kind/decision,panel/E,stage/5",,S,E-06,§19,,"**Due before:** AP-5.3 · **Panels:** E-06

### To be decided
The model and provider table

### Proposed ruling
two independent providers, the classifier self-operated

### Done when
- decisions/OP-7.md lies in Git, with ruling, rationale and “overturned by”.
- AP-5.3 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-8,decision,OP-8 · Decision: the cut of the first locality groups,Stage 6 — Second node,"blocker,kind/decision,panel/E,panel/V,stage/6",,S,"E-03, V-02",§19,,"**Due before:** AP-6.2 · **Panels:** E-03, V-02

### To be decided
The cut of the first locality groups

### Proposed ruling
one per repository family, a monorepo = one

### Done when
- decisions/OP-8.md lies in Git, with ruling, rationale and “overturned by”.
- AP-6.2 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-9,decision,OP-9 · Decision: retention periods per tenant beyond the default,Stage 7 — Test bench,"blocker,kind/decision,panel/E,stage/7",,S,E-07,§19,,"**Due before:** AP-7.4 · **Panels:** E-07

### To be decided
Retention periods per tenant beyond the default

### Proposed ruling
a cell property, never a runtime setting

### Done when
- decisions/OP-9.md lies in Git, with ruling, rationale and “overturned by”.
- AP-7.4 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
OP-10,decision,OP-10 · Decision: two named people for the duty officer role,Stage 7 — Test bench,"blocker,kind/decision,panel/E,stage/7",,S,E-08,§19,,"**Due before:** AP-7.5 · **Panels:** E-08

### To be decided
Two named people for the duty officer role

### Proposed ruling
before the first delivery to outsiders

### Done when
- decisions/OP-10.md lies in Git, with ruling, rationale and “overturned by”.
- AP-7.5 is unblocked.

### Boundary of this issue
The value is decided and filed, not implemented. It is never guessed anywhere in the code — that is the reason this issue exists."
GATE,gate,GATE · Acceptance of the platform (section D),Acceptance of the platform,"gate,acceptance/blocker,stage/9",all,S,"A-06, Q-02",§20,AB-E11-1,"### The platform is hit when all three conditions hold

- [ ] **Every row in sections A and B of the acceptance matrix is green** — through a run, not through an explanation. A row that cannot turn green is not left out, but justified as a decision in Git and marked as deliberately open.
- [ ] **The six numbers have a recorded baseline** and a direction: escape_rate, false_reject_rate, cost_per_acceptance, no_clarification_rate, coverage_rate, success_rate per capability.
- [ ] **All ten open points from §19 are decided** and lie in decisions/, with ruling, rationale and overturn condition.

### Boundary of this issue
Everything else is a proposal. That is the same rule Q-02 imposes on every job, applied to the system that runs the jobs."
